h2,pval,jack_se,network,hemi
0.146309808836385,0.001,0.00357932336362651,overall,lh
0.135450889030275,0.001,0.0124798182914361,1,lh
0.135783067955095,0.001,0.00547993010310437,2,lh
0.144991557881384,0.001,0.00523389624940194,3,lh
0.124657927260133,0.001,0.0152692075244732,4,lh
0.139538825432756,0.001,0.00543445744098553,5,lh
0.144806478629737,0.001,0.00484661612752703,6,lh
0.153319652551048,0.001,0.00692311290168764,7,lh
0.148348619825882,0.001,0.0166760848463551,8,lh
0.187077502534072,0.001,0.00750972261179108,9,lh
0.129970899209347,0.001,0.0111168468985904,10,lh
0.148922002577252,0.001,0.00651307972689398,11,lh
0.138884823487334,0.001,0.00547160011425631,12,lh
0.152866841207694,0.001,0.0104256710577626,13,lh
0.15703164082316,0.001,0.00546217055322445,14,lh
0.156840122025185,0.001,0.00522823200505014,15,lh
0.133863587149349,0.001,0.0060526820722244,16,lh
0.125553861987341,0.001,0.0124990683249053,17,lh
