varcomp,Var,SE,pval,net,trait
h2r,0.4526751994977934,0.05538303782,1.8096491e-14,Auditory,lh_1_relative_SA
h2r,0.4135073429015318,0.05791625555,4.68008e-12,DorsalAttentionA,lh_2_relative_SA
h2r,0.28682436130156,0.06040631448,7e-7,ControlA,lh_3_relative_SA
h2r,0.3769205667049226,0.06291317793,7.553693e-10,SomatomotorA,lh_4_relative_SA
h2r,0.2744614614980581,0.05730258472,7e-7,VentralAttentionB,lh_5_relative_SA
h2r,0.2395976291781172,0.05918444248,1.61e-5,DefaultB,lh_6_relative_SA
h2r,0.3454462667349522,0.05792397107,4.8361197e-9,DefaultC,lh_7_relative_SA
h2r,0.4281182150614947,0.06008900453,8.0101695e-12,VisualC,lh_8_relative_SA
h2r,0.5405027751615518,0.05307663682,3.1856482e-19,VisualA,lh_9_relative_SA
h2r,0.2335371407425951,0.06104023067,5.2e-5,DorsalAttentionB,lh_10_relative_SA
h2r,0.2991133044190365,0.05827466369,1e-7,TemporalParietal,lh_11_relative_SA
h2r,0.3790266104278182,0.05547104385,8.335632e-12,ControlB,lh_12_relative_SA
h2r,0.4528823032960061,0.0618962197,9.79564e-13,VisualB,lh_13_relative_SA
h2r,0.4591306078862452,0.05338317049,2.4170838e-15,ControlC,lh_14_relative_SA
h2r,0.4839896296539454,0.06087128458,1.2465714e-13,DefaultA,lh_15_relative_SA
h2r,0.3831591878041903,0.05924348492,2.2080781e-10,VentralAttentionA,lh_16_relative_SA
h2r,0.4010594776315363,0.0569198566,7.499762e-12,SomatomotorB,lh_17_relative_SA
h2r,0.5068750828588636,0.05187958729,2.4510997e-18,Auditory,rh_1_relative_SA
h2r,0.3377799791402116,0.05533645432,6.612702e-10,DorsalAttentionA,rh_2_relative_SA
h2r,0.2412199765888722,0.05641130567,6.5e-6,ControlA,rh_3_relative_SA
h2r,0.4593067522775676,0.05846119346,4.0478621e-14,SomatomotorA,rh_4_relative_SA
h2r,0.3025100008047975,0.05935108939,2e-7,VentralAttentionB,rh_5_relative_SA
h2r,0.2584578751838547,0.06040770279,8.1e-6,DefaultB,rh_6_relative_SA
h2r,0.3351181122893614,0.05703436181,2.9312683e-9,DefaultC,rh_7_relative_SA
h2r,0.3591334366785405,0.06082098201,3.3983304e-9,VisualC,rh_8_relative_SA
h2r,0.4288825510423353,0.0544521434,2.8472129e-14,VisualA,rh_9_relative_SA
h2r,0.2441331045850291,0.06500812517,7.21e-5,DorsalAttentionB,rh_10_relative_SA
h2r,0.3118503800519443,0.07080950478,4.3e-6,TemporalParietal,rh_11_relative_SA
h2r,0.2987147438768135,0.06048748248,3e-7,ControlB,rh_12_relative_SA
h2r,0.424377682539373,0.05959626945,3.0605886e-12,VisualB,rh_13_relative_SA
h2r,0.3529475465506114,0.05217705081,2.4236377e-11,ControlC,rh_14_relative_SA
h2r,0.3715446133595334,0.06462472454,5.855247e-9,DefaultA,rh_15_relative_SA
h2r,0.4035094229617068,0.06125188999,1.215243e-10,VentralAttentionA,rh_16_relative_SA
h2r,0.423956842403603,0.05738975954,1.7692863e-12,SomatomotorB,rh_17_relative_SA
